name,transcription,language,gender,meaning
Arachie,/Arachie/,Igbo,m,To have chosen a portion ahead of another. To supplant
Madumelu,/Mmadu-melu/,Igbo,m,A thing wrought by human
Amaku,/Ama-akụ/,Igbo,m,The
Ezeikpe,/Eze-ikpe/,Igbo,m,Judge
Onyenaucheya,/Onye-na-uche-ya/,Igbo,m/f,Each to his thought/mind
Iheukwumere,/Ihe-ukwu-mere/,Igbo,m,A great thing happened
Obianokwalu,/Obi-a-nọkwalu/,Igbo,m,The
Okolo,/Okolo/,Igbo,m,A man
Chidiadi,/Chi-dị-adị/,Igbo,m,God certainly is.
Morah,/Mmuo-raa/,Igbo,m,Let the spirit being leave me be.
Isioma,/Isi-ọma/,Igbo,m/f,Good head
Kosarachi,/Kọsara-chi/,Igbo,m/f,Tell it to God
Asomugha,/Asọ-m-ụgha/,Igbo,m,I detest deceit
Nnadozie,/Nna-dozie/,Igbo,m,May the father mend or repair (something)
Okoroabia,/Okoro-abịa/,Igbo,m,A man has come.
Anulika,/Aṅulị-ka/,Igbo,f,Joy is far more important.
Afuluchi,/À-fụ̀lụ̀-chí/,Igbo,m/f,Who has seen god?!
Ozulubeonye,/O-zulu-be-onye/,Igbo,m,In whose home is everything sufficient?
