name,transcription,meaning,gender,language
Duru,-,unknown,-,igbo
Dunuoruchili,-,unknown,-,igbo
Diugwu,/Dị-ugwu/,Be respectable/dignified,m,igbo
Azubundu,/Azụ-bụ-ndụ/,The past/history/experience molds our lives,m,igbo
Azubuike,/Azụ-bụ-ike/,The past or history or experience is a source of strength,m,igbo
Dinyelu,-,unknown,-,igbo
Azuka,/Azụ-ka/,"The past, or history or experience is paramount",m,igbo
Azokam,/Azọka-m/,unknown,f,igbo
Mmaduba,/Mmadu-baa/,May people multiply,m,igbo
Sopuluchukwu,/Sọpụlụ-Chukwu/,Respect God,m/f,igbo
Muozoba,/Mmuo-zoba/,May the spirit being continue to save,m,igbo
Ozuruigbo,/O-zuru-igbo/,unknown,A thing that spread across the Igbo nation,igbo
Ozurumba,/O-zuru-mba/,unknown,A thing that spread across Igbo country.,igbo
Ozumba,/Ozuru-Mba/,One/thing that resounds across nations.,m,igbo
Nnabugwu,/Nna-bụ-ugwu/,Fatherhood confers respect,m,igbo
Ozulubeonye,/O-zulu-be-onye/,In whose home is everything sufficient?,m,igbo
Ntukogu,/Ntụ-ka-ọgụ/,Lying is better than fighting,m,igbo
Nzubechukwu,/Nzube-chukwu/,God's purpose,m/f,igbo
Nzuteigbo,/Nzute-igbo/,The meeting of the Igbos,m,igbo
Uzomba,/Ụzọ-mba/,The path of the nation.,m,igbo
Uzumma,/ụzụ-mma/,A beautiful work of smithing,f,igbo
Uzoigwe,/Ụzọ-igwe/,The path of the multitude,m,igbo
Uzoh,/Ụ́zọ̀/,unknown, ,igbo
Uzoma,/Ụzọ-ọma/,A good path.,f,igbo
Uzoukwu,/Ụzọ-ukwu/,A great path/road,m,igbo
Uzoghelu,/Ụ́zọ̀-ghélụ́/,May roads open or May paths become clear,m,igbo
Uzoeto,/Ụzọ-eto/,The path has uplifted/elevated me,m,igbo
Uzoeghelu,/Ụ́zọ̀-è-ghélụ́/,The road is clear; the road is opened,m,igbo
Uzoekwe,/ụzọ-ekwe/,The paths have agreed.,m,igbo
Uzoamaka,/Ụzọ-amaka/,The path is beautiful.,f,igbo
Uzochukwu,/Ụzọ-Chi-ukwu/,God's way/path,m/f,igbo
Uzoegbunam,/Uzọ-egbuna-m/,May the paths (I take) not bring me death.,m,igbo
Uzoechina,/ụzọ-echina/,May my paths (to wealth) never cease or become unprofitable,m,igbo
Uzoakor,/Ụ́zọ̀-ákọ́/,One who will never run out of paths,m,igbo
Uzo,/,Path,m/f,igbo
Uyanwa,/Ụya-Nwa/,Grief for a child,m/f,igbo
Uyanwune,/Ụya-nwune/,unknown,Grief for a sibling.,igbo
Uyanne,/Uya-nne/,A mother's grief,m/f,igbo
Uwechue,-,unknown,-,igbo
Uwaleke,-,unknown,-,igbo
Uwaezuoke,/Ụwa-ezughị-oke/,The world is not enough,m,igbo
Utonwa,/Utọ-nwa/,The sweetness of a child,m/f,igbo
Uwazurike,/ụwa-zuru-ike/,Let the world rest (from its strife).,m,igbo
Usonwa,/Usọ-nwa/,The pleasures from having a child.,m/f,igbo
Unachukwu,-,unknown,-,igbo
Urudinanwa,/Úrù-dị̀-nà-nwá/,There is gain in a child,m/f,igbo
Umeze,/Ume-eze/,unknown,-,igbo
Umunna,/ụmụ-nna/,Children of (my) father.,m,igbo
Umeugo,/Ụme-ụgo/,unknown,-,igbo
Umeora,/Ụme-ọra/,A noble man loved by the people.,m,igbo
Umerah,/Ume-ra/,unknown,Let miscarriage/failure to give birth let me be,igbo
Umeononigwe,/Ume-ọnọ-na-igwe/,unknown,-,igbo
Umeokonkwo,/Ụme-okonkwọ/,unknown,-,igbo
Umeohaka,/Ume-Ohaka/,unknown,-,igbo
Umeoduagu,/Ume-ọdụ-agụ/,unknown,-,igbo
Umeobiekwe,/Ume-Obiekwe/,unknown,-,igbo
Umeobiaeli,/Ụme-ọbịa-eli/,An important person who has come to live a good life,m,igbo
Umennadi,/Ụme-Nnadi/,unknown,m,igbo
Umeh,/Ụme/,An Ozo titled person of the Ume category,m,igbo
Umealor,/Ume-alọ/,A distinguished person (child) of,m,igbo
Umenwa,-,unknown,-,igbo
Umeadi,/Ụme-adị/,Nobility has come,m,igbo
Uloma,/Ụlọ-Ọma/,The good home.,f,igbo
Uma,-,unknown,-,igbo
Ukwuoma,/Ụkwụ-ọma/,Good legs,m,igbo
Ukwuegbulam,/Ukwu-egbula-m/,unknown,May ,igbo
Ukpai,-,unknown,-,igbo
Ukpabi,-,unknown,-,igbo
Ukochukwu,/Uko-chukwu/,God's Pride.,m,igbo
Ukoha,/Uko-Ọha/,unknown,The people's pride,igbo
Ukobasi,/Uko-Ọbasị/,God's Pride.,m,igbo
Ukeh,-,unknown,-,igbo
Ukwu,/Ukwu/,A god of good fortune and the patron of travelers,Great,igbo
Ukeachu,/Uke-achụ/,unknown,May ,igbo
Ukanle,-,unknown,-,igbo
Ukamaka,/Ụka-amaka/,Conversation is beautiful,f,igbo
Ujumadu,/Uju-Mmadụ/,Abundance of people.,m,igbo
Ujubuonu,/Ùjú-bụ̀-ọ́ṅụ̀/,Abundance brings joy,f,igbo
Ujam,-,unknown,-,igbo
Ugwunna,/Ugwu-nna/,The dignity/respect of the father.,m,igbo
Uju,/Uju/,Abundance,f,igbo
Ugwumsinachi,/Ùgwù-m-si-na-chi/,My respect/dignity comes from God.,m/f,igbo
Ugwu,/Ùgwù/,Respect; Reverence or Dignity,m,igbo
Ugorji,/Ugo-Ọjị/,: An honour given to a great man, The eagle that perched on the Iroko.,igbo
Ugosinachi,/Ugo-si-na-chi/,Honour/mark of excellence comes from God,m/f,igbo
Ugwudike,/Ùgwù-dike/,The respect accorded a warrior.,m,igbo
Ugonna,/Ugo-Nna/,The father's honour,m,igbo
Ugonabo,/Ugo-na-abọ/,Double honor.,m,igbo
Ugomma,/Ugo-mma/,The honour of beauty,f,igbo
Ugokwe,/Ugo-kwe/,unknown,May honor befit ,igbo
Ugobude,/Ugo-bụ-Ude/,Honour/excellence brings fame,m/f,igbo
Ugoeze,/Ugo-eze/,The honour of the king,m/f,igbo
Ugoanyanwu,/Ugo-Anyanwụ/,The honour/excellence bestowed by,m,igbo
Ugochi,/Ugo-Chi/,God's honour.,f,igbo
Ugoama,/Ugo-ama/,The honour/excellence of the family compound.,m,igbo
Ugoala,/Ugo-ala/,Honour bequeated by,m,igbo
Ugochukwu,/Ugo-Chukwu/,God's honour,m,igbo
Ugo,/Ugo/,Eagle,m/f,igbo
Ughaogalanya,/Ụgha-ọgalanya/,The deception of the wealthy,m,igbo
Ughaerumba,/Ugha-erughi-mba/,Deceit which does not reach a nation,m,igbo
Ufondu,/Ufo-ndu/,Wishes of life,m/f,igbo
Ugboma,/Ụgbọ-Ọma/,A good boat.,m/f,igbo
Ufoegbulam,-,unknown,-,igbo
Ufomba,/Ufo-mba/,Thoughts/Wishes of the nation/community,m,igbo
Udum,-,unknown,-,igbo
Udorji,-,unknown,-,igbo
Udokaogu,/Udo-ka-ọgụ/,Peace is greater than war,m,igbo
Udokwelu,/Udo-kwelụ/,The,m,igbo
Udokwu,-,unknown,-,igbo
Udoka,/Udo-ka/,Peace is above all else.,m/f,igbo
Udodi,/Udo-di/,unknown,Udo exists,igbo
Udoh,/Udo/,unknown,-,igbo
Udochukwu,/Udo-chukwu/,God's peace,m/f,igbo
Udo,/Udo/,Peace,m,igbo
Udeofor,/Ude-ọfọ/,The fame of the,m,igbo
Udezue,/Ùdé-ézùé/,Fame is accomplished,m,igbo
Udeozo,/Ude-Ọzọ/,Fame of the,m,igbo
Udeogu,/Ude-ọgụ/,The fame of a battle.,m,igbo
Udekwe,/Ude-ekwe/,Fame agrees or fame has agreed (with me).,m,igbo
Udenna,/Udenna/,The fame of the father.,m,igbo
Udemezue,/Ùdé-mèzué/,May my fame be accomplished.,m,igbo
Udeh,/Ude/,Fame,m,igbo
Udegbunam,/Ude-egbuna-m/,May fame not destroy me,m,igbo
Uchendu,/Uche-Ndụ/,The will/thoughts of life.,m/f,igbo
Uchenna,/Uche-Nna/,The will/thoughts of the Father,m,igbo
Uchenabo,-,unknown,-,igbo
Udealor,-,unknown,-,igbo
Udeaghanam,/Ude-agha-na-m/,May fame not abandon me,m,igbo
Udeagbala,/Ude-agbala/,The fame of the,m,igbo
Uchemba,/Uche-mba/,The will/thoughts of a nation,m,igbo
Uchegbu,/Uche-egbu/,One who would not die from the thoughts/ill will (of his enemies).,m,igbo
Uchechukwu,/Uche-Chukwu/,The will/ thoughts of God,m,igbo
Ucheime,-,unknown,-,igbo
Uchegbunam,/Uche-egbuna-m/,May the thoughts/ill will (of my enemies) not succeed.,m,igbo
Ucheakor,/Uche-akọ/,May I not run short of good sense.,m,igbo
Uche,/Uche/,Will/Thoughts,m/f,igbo
Ubaka,/Ụba-ka/,Increase/abundance (in population or material prosperity) is more important.,m,igbo
Ubani,-,unknown,-,igbo
Ubadike,/Ụba-Dike/,The prosperity/abundance of warriors,m,igbo
Ubah,/Ụba/,unknown,-,igbo
Ubaezuonu,/Ụba-ezu-ọnụ/,Prosperity never satisfies,m,igbo
Ubadi,/Uba-dị/,There is abundance,m,igbo
Uba,/Ụba/,"Increase, abundance or prosperity",f,igbo
Nzube,/Nzube/,Purpose,m/f,igbo
Nzimiro,-,unknown,-,igbo
Nzeogwu,-,unknown,-,igbo
Nzeakor,/Nze-akọ/,unknown,m,igbo
Nwuneli,/Nwune-eli/,unknown,m,igbo
Nwune,/Nwunne/,Sibling,m,igbo
Nwuya,/Nwa-ụya/,A child who came after much grief,m,igbo
Nwuwa,/Nwa-ụwa/,Child of the world,m,igbo
Nzekwe,/Nze-kwe/,May the,m,igbo
Nze,/Nze/,An elder who is seen as representative of the ancestors. Generally regarded as upstanding member of the community.,m,igbo
Nwuke,/Nwa-uke/,Child of Uke,m,igbo
Nwozor,/Nwa-Ọzọ/,Child of an,m,igbo
Nwuba,/Nwa-ụba/,Child of prosperity/abundance,m,igbo
Nwude,/Nwa-ude/,A child of fame,m,igbo
Nwosu,/Nwa-osu/,A child devoted/set aside to/for,m,igbo
Nwosungene,/Nwa-osu-Ngene/,Child dedicated to,m/f,igbo
Nwoye,/Nwa-Oye/,Child of,m,igbo
Nwubani,/Nwa-ụbanị/,Child of Ubani,m,igbo
Nwosa,/Nwa-osa/,Child of,m,igbo
Nworgu,/Nwa-ọgụ/,A child of war or One born to wage war,m,igbo
Nwokoro,/Nwa-Okoro/,A male child,m,igbo
Nwolu,-,unknown,-,igbo
Nwokolo,/Nwa-Okolo/,A male child,m,igbo
Nwora,/Nwa-ọra/,The Child of the people,m,igbo
Nwokike,/Nwa-okike/,Child of Creation.,m,igbo
Nwoko,/Nwoko/,A male child or Man,m,igbo
Nwolisa,/Nwa-olisa/,Child of,m,igbo
Nwokeoji,/Nwoke-Oji/,unknown,A dark complexioned male,igbo
Nwokeocha,/Nwoke-ọcha/,Light complexioned male,m,igbo
Nwokedi,/Nwoke-di/,A man exists/is.,m,igbo
Nwoga,-,unknown,-,igbo
Nwogu,/Nwa-ọgụ/,A child of war or One born to wage wa,m,igbo
Nwobum,/Nwa-obu-m/,Child of my,m,igbo
Nwokeabia,/Nwoke-abịa/,A man has come,m,igbo
Nwogbo,/Nwa-ogbo/,Child companion,m,igbo
Nwobualor,/Nwa-obu-alọ/,unknown,A child who has come from the ,igbo
Nwobodo,/Nwa-obodo/,The child of the community,m,igbo
Nwobu,/Nwa-obu/,unknown,The child of the ,igbo
Nwobi,/Nwa-obi/,Child of the Obi,m,igbo
Nwikwu,/Nwa-ịkwu/,Child of one's kin,m,igbo
Nwiyi,/Nwa-iyi/,Child of covenant,m,igbo
Nwimo,/Nwa-imo/,Child of,m,igbo
Nwizu,/Nwa-izu/,Child of a gathering.,m,igbo
Nwigwe,/Nwá-ígwé/,Child of the heavens,m,igbo
Nwemeluwa,-,unknown,-,igbo
Nwigwenagu,/Nwa-igwe-na-agụ/,The child who desires a great many descendants.,m,igbo
Nwike,/Nwa-ike/,Child of (ones) Power,m,igbo
Nweze,/Nwa-eze/,The king's child.,m,igbo
Nweku,/Nwa-eku/,A child who is borne in one's hands.,m,igbo
Nweke,/Nwá-èké/,unknown,Child of ,igbo
Nwejiaka,/Nwa-eji-aka/,The child by which we surpass.,m,igbo
Nwazuruahu,/Nwa-zuru-ahu/,Children abound.,m,igbo
Nwegwunatu,/Nwa-egwu-na-atụ/,Child who is afraid,m,igbo
Nwawuike,/Nwá-wụ̀-íké/,unknown,m,igbo
Nwasike,,unknown,-,igbo
Nwasokwa,-,unknown,-,igbo
Nwaugo,/Nwa-ugo/,A child that brought honour or that is a mark of excellence.,m,igbo
Nwarieji,/Nwa-rie-ji/,The Child should eat yam,m,igbo
Nwazu,-,unknown,-,igbo
Nwapa,-,unknown,-,igbo
Nwaoyeocha,-,unknown,-,igbo
Nwaogueze,/Nwa-ọgụ-eze/,The Child of the kings war,m,igbo
Nwaogu,/Nwa-ọgụ/,Child of war,m,igbo
Nwaoboshi,-,unknown,-,igbo
Nwanyanwu,/Nwa-Anyanwụ/,The child of or devotee of or one dedicated to,m,igbo
Nwanri,/Nwa-Nri/,Child of Nri,m,igbo
Nwanosike,/Nwa-Nọ-si-ike/,May the child stay boldly.,m,igbo
Nwannaya,-,unknown,-,igbo
Nwannia,-,unknown,-,igbo
Nwankpa,/Nwa-nkpa/,A child of need,m,igbo
Nwanna,/Nwa-nna/,Child of the father,m,igbo
Nwankwo,/Nwa-Nkwọ/,A Child of,m,igbo
Nwanke,-,unknown,-,igbo
Nwani,/Nwa-Anị/,Child of,m,igbo
Nwangwu,/Nwa-Ngwu/,Child of,m,igbo
Nwangene,/Nwa-Ngene/,Child of,m,igbo
Nwanenye,/Nwa-na-enye/,unknown,A child gives,igbo
Nwaneri,/Nwa-na-eri/,Child who is living the good life,m,igbo
Nwando,/Nwa-ndo/,unknown,-,igbo
Nwamgba,/Nwa-mgba/,Wrestler,m,igbo
Nwamma,/Nwa-mma/,Child of Beauty. Beautiful child,f,igbo
Nwamba,/Nwa-mba/,The child of the nation,m,igbo
Nwana,/Nwa-Ana/,Child of,m,igbo
Nwamalubia,/Nwa-malụ-bịa/,Child that came at the right time.,m/f,igbo
Nwamaka,/Nwa-amaka/,A child is so beautiful,f,igbo
Nwamachukwu,/Nwa-ama-chukwu/,A Child that bears witness to God.,m,igbo
Nwalusi,/Nwa-Alusi/,Child of a deity,m,igbo
Nwakpadolu,-,unknown,-,igbo
Nwali,/Nwa-alị/,Child of,m,igbo
Nwakibeya,/Nwa-ka-ịbe-ya/,A child eminent over his/her peers.,m,igbo
Nwakalor,/Nwa-ka-Alọ/,A priest of,m,igbo
Nwakalo,/Nwaka-Alọ/,A priest of,m,igbo
Nwakali,/Nwaka-alị/,A priest of,m,igbo
Nwakani,/Nwaka-ani/,A priest of,m,igbo
Nwakaibeya,/Nwa-ka-ibe-ya/,A child eminent over his/her peers,m,igbo
Nwakaeme,/Nwa-ka-eme/,A child does the most (good),m/f,igbo
Nwaka,/Nwa-ka/,A child is the most important,m,igbo
Nwakaego,/Nwa-ka-ego/,A child is better than money.,f,igbo
Nwajiani,/Nwa-ji-anị/,The Child who has,m,igbo
Nwajiaku,/Nwa-ji-akụ/,A child who holds wealth,m,igbo
Nwajiagu,/Nwa-ji-agu/,The Child who holds the Leopard,m,igbo
Nwaije,/Nwá-íjè/,A child of travels,m,igbo
Nwaigbo,/Nwa-igbo/,The child of the Igbos,m,igbo
Nwagwu,/Nwa-agwu/,Child of,m,igbo
Nwagbo,/Nwa-gboo/,May the child supply my needs,m,igbo
Nwagu,/Nwa-agu/,Child of a leopard,m,igbo
Nwagbata,/Nwa-gbata/,A child has come quickly (to rescue),m,igbo
Nwagbara,/Nwa-agbara/,Child of,m,igbo
Nwafulume,/Nwa-fulu-me/,Child who is capable,m,igbo
Nwaezenagu,/Nwa-eze-na-agu/,A child desirous of the Kingship,m,igbo
Nwafor,/Nwa-afọ/,Child of,m,igbo
Nwaeri,/Nwa-eri/,A child of Eri,m,igbo
Nwaegbu,-,unknown,-,igbo
Nwadukwe,/Nwa-di-ụkwe/,unknown,m,igbo
Nwadiora,/Nwa-di-ọra/,"""Nwa-di-ọra-mma""",m/f,igbo
Nwadiuto,/Nwá-dị̀-ụ̀tọ́/,Child is sweet,m/f,igbo
Nwadiogwa,/Nwa-dị-ọgwa/,Children are in variety.,f,igbo
Nwadike,/Nwá-dike/,The child of a warrior,m,igbo
Nwachukwu,/Nwa-chukwu/,Child of God.,m,igbo
Nwadihi,-,unknown,-,igbo
Nwachineke,/Nwá-chínékè/,The child of,m,igbo
Nwaburu,/Nwá-bụ̀-úrù/,Child is gain.,m/f,igbo
Nwabuogo,/Nwa-bụ-ọgọ/,A child is a favour,m/f,igbo
Nwabundo,/Nwa-bụ-ndo/,Child is a shade/canopy,m/f,igbo
Nwabunwanne,/Nwa-bụ-nwanne/,One's child is (also) one's sibling,m/f,igbo
Nwabuisi,/Nwa-bụ-isi/,Child is the principal thing,m/f,igbo
Nwabuonu,/Nwá-bụ̀-ọ́ṅụ̀/,Child is (a thing of) joy,m/f,igbo
Nwabuike,/Nwa-bụ-ịke/,Child is (one's) strength,m,igbo
Nwabuikwu,/Nwa-bụ-ikwu/,Child is one's kin,m,igbo
Nwabugwu,/Nwa-bụ-ugwu/,A Child bestows respect,m/f,igbo
Nwabugo,/Nwa-bụ-ugo/,A Child is an honour or a mark of excellence.,m/f,igbo
Nwabufo,/Nwa-bụ-ufo/,Child is something to wish for.,m,igbo
Nwabueze,/Nwa-bụ-eze/,The child (who) is king.,m,igbo
Nwabue,/Nwa-bue/,May the child increase.,m/f,igbo
Nwabia,/Nwa-abịa/,A child has arrived,m,igbo
Nwabu,/Nwa-bụ/,unknown,m/f,igbo
Nwabashili,-,unknown,-,igbo
Ntikwe,/Ntị-kwe/,If the ear would listen,m,igbo
Nsoegbunam,/Nsọ-egbuna-m/,May forbidden conducts not destroy.,m,igbo
Nsofor,/Nsọ-ọfọ/,The rules guiding the,m,igbo
Nosike,/Nọ-sie-ike/,Stay confidently or boldly. To be without fear,m,igbo
Nnopu,/Nnọpụ/,Separation,m/f,igbo
Nnolim,-,unknown,-,igbo
Nnoje,-,unknown,-,igbo
Nnodu,/Nnọdụ/,To stay or remain,m/f,igbo
Nnena,/Nne-nna/,The father's mother,f,igbo
Nneoma,/Nne-ọma/,Good mother,f,igbo
Nnerike,/Nne-erike/,Mother is phenomenal,f,igbo
Nnejindu,/Nne-jị-ndụ/,Mothers or motherhood holds life.,m/f,igbo
Nneka,/Nne-ka/,Mothers are superior,f,igbo
Nnedimma,/Nne-dị-mma/,Mother/motherhood is good,f,igbo
Nnedimkpa,/Nne-dị-mkpa/,Mother is important,f,igbo
Nnedi,/Nne-di/,The mother lives,f,igbo
Nnebuzo,/Nne-bụ-ụzọ/,Mother comes first or The mother who comes first,f,igbo
Nneji,/Nneji/,unknown,m/f,igbo
Nnebugwu,/Nne-bụ-ugwu/,Motherhood confers respect or motherhood is dignifying.,f,igbo
Nnebuihe,/Nne-bụ-ịhe/,Mother/Motherhood is remarkable.,f,igbo
Nnebuife,/Nne-bụ-ịfe/,Mother/Motherhood is remarkable,f,igbo
Nnebisi,/Nne-bụ-isi/,Mother is paramount,f,igbo
Nnebedum,-,unknown,-,igbo
Nneamaka,/Nne-amaka/,Mother or motherhood is so beautiful,f,igbo
Nnebe,-,unknown,-,igbo
Nnatuanya,/Nna-tụ-anya/,The father hoped for,m,igbo
Nnanyelugo,/Nna-nyelu-ugo/,The father bestowed honour/excellence,m,igbo
Nnatu,-,unknown,-,igbo
Nnanwube,/Nna-nwe-ube/,The father owns/wields the spear,m,igbo
Nnanna,/Nna-nna/,The father's father; Grandfather,m,igbo
Nnaneduzor,/Nna-na-edu-ụzọ/,The father leads the way,m,igbo
Nnamekwe,/Nna-m-ekwe/,My father has agreed,m,igbo
Nnakwe,/Nna-kwe/,May the father approve/agree/permit.,m,igbo
Nnamdi,/Nna-m-dị/,My father lives/exists,m,igbo
Nnake,/Nna-kee/,May the father apportion/create,m,igbo
Nnamani,-,unknown,-,igbo
Nnaka,/Nna-ka/,The father is superior,m,igbo
Nnajiofor,/Nna-ji-ọfọ/,The father holds the,m,igbo
Nnaji,/Nna-ji/,The father holds,m,igbo
Nnagbo,/Nnà-gboo/,unknown,m,igbo
Nnaemeka,/Nna-emeka/,The father did so well,m,igbo
Nnadi,/Nna-dị/,The father lives,m,igbo
Nnadozie,/Nna-dozie/,May the father mend or repair (something),m,igbo
Nnaebue,/Nna-ebue/,The father has increased/prospered,m,igbo
Nnacho,-,unknown,-,igbo
Nnabuike,/Nnà-bụ̀-íké/,Father/fatherhood is strength,m,igbo
Nnabuihe,/Nna-bụ-ihe/,Father/Fatherhood is remarkable.,m,igbo
Nnabuife,/Nnà-bụ̀-ị̀fè/,Father/fatherhood illuminates,m,igbo
Nnabueze,/Nna-bụ-eze/,The father is king,m,igbo
Nnabuenyi,/Nna-bụ-enyị/,Father is the elephant,m,igbo
Nnabude,/Nnà-bụ̀-ùdé/,Fatherhood grants fame,m,igbo
Nkwocha,-,unknown,-,igbo
Nkiruka,/Nke-ịrụ-ka/,What the future hold is far better,f,igbo
Nkwo,/Nkwọ/,unknown,The last of the four Igbo market days,igbo
Nkiru,/Nke-ịrụ/,The future.,f,igbo
Nkeoma,/Nke-ọma/,A good one,f,igbo
Nkemjika,/Nke-m-jị-ka/,What's in my possession worths more or is far better,m/f,igbo
Nkemdirim,/Nke-m-dịrị-m/,May what is mine be mine or May I never be denied of my portion,f,igbo
Nkemakonam,/Nke-m-akọna-m/,May I not want for what is mine,f,igbo
Nkemdilim,/Nke-m-dịlị-m/,May what is mine be mine or May I never be denied of my portion,f,igbo
