name,transcription,meaning,extended meaning,gloss,language
Aánúolúwa,àánú-olúwa,The mercy/grace of God.,unknown,"[{'àánú': ' - grace, mercy'}]",yoruba
Abánigbé,a-bá-ẹni-gbé,One who lives with us.,unknown,[{'a': ' - one who'}],yoruba
Abániwọ́ndá,àbá-ni-wọn-n-dá,They are only plotting.,"Like ""Àbánikándá"", this name boasts that the enemies can only try, they can't succeed.","[{'àbá': ' - plot, plan, strategy'}]",yoruba
Abániṣé,a-bá-ẹni-ṣé,One who relates with others.,unknown,"[{'a': ' - someone, one who'}]",yoruba
Abániṣélolúwa,a-bá-ẹni-ṣeé-ni-olúwa,God always helps.,unknown,[{'a': ' - one who'}],yoruba
Abátàn,a-bá-ìtàn,We met the story.,unknown,[{'a': ' - we'}],yoruba
Abáyọ̀wá,à-bá-ayọ̀-wá,One that came with joy.,unknown,[{'a': ' - someone'}],yoruba
Abèrèọlá,a-bèrè-ọlá,We asked for nobility.,unknown,[{'a': ' - we'}],yoruba
Abégúnrìn,a-bá-eégún-rìn,"One who is born during egúngún festival, or who walks with egúngún.",unknown,[{'a': ' - one who'}],yoruba
Abéjidé,a-bá-eji-dé,One who comes with the rain.,See also: Abéjirìn,[{'a': ' - one who'}],yoruba
Abéjirìn,a-bá-eji-rìn,One who was birth when it's raining.,A child born during a rainstorm. See also: Abéjidé.,[{'a': ' - one who'}],yoruba
Abérìṣàdé,a-bá-òrìṣà-dé,See: Abórìshàdé.,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.",[{'a': ' - someone'}],yoruba
Abésùjobì,a-bá-èṣù-jẹ-obì,One who eats kola nuts with Èṣù,unknown,[{'a': ' - one who'}],yoruba
Abéṣùpínlẹ̀,a-bá-èṣù-pín-ilẹ̀,One brave enough to share a piece of land with Èṣù.,unknown,[{'a': ' - one who'}],yoruba
Abégúndé,a-bá-eégún-dé,The one who came with the masquerade.,unknown,[{'a': ' - one who'}],yoruba
Abìjà,a-bi-ìjà,The fighter.,"The full appellation is ""abìjàwàrà bí ẹkùn"", meaning one with a fighting spirit as fierce as the tiger's.",[{'a': ' - one who'}],yoruba
Abìwàpẹ̀lẹ́,a-bi-ìwa-pẹ̀lẹ́,Gently-behaved person.,A nickname.,[{'a': ' - one who'}],yoruba
Abídákun,a-bí-dákun,The lastborn. Literally: one born to end all future births.,unknown,[{'a': ' - someone'}],yoruba
Abídè,a-bí-dè-mí,One given birth to before (me).,"Like Abídèmí, this is a name given to a child born before the father's return from a long trip.",[{'a': ' - one that'}],yoruba
Abídogun,a-bí-de-ogun,Given birth to in anticipation of war.,unknown,[{'a': ' - we'}],yoruba
Abídoyè,a-bí-de-oyè,Born before title/rank. Born in the anticipation of gaining a title/rank.,unknown,[{'a': ' - we'}],yoruba
